case_idx,query_field,query,target_path,target_in_index,category,hit_top5,rank,result_paths
0,simple_task_zh,我想知道在使用J1939协议栈时，如果发生交互层错误，对应的数值含义是什么。,CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md,True,查询错误代码定义,True,1.0,"['CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md', 'CAPLFunctions/J1939/J1939NodeLayer/CAPLfunctionsJ1939NLErrorCodes.md', 'CANoeCANalyzer/J1939/j1939IL/j1939ILOverview.md', 'CAPLFunctions/Obsolete/J1939TestServiceLibrary/CAPLfunctionsJ1939TSLErrorCodes.md', 'CAPLFunctions/J1939/CAPLfunctionsJ1939StartPage.md', 'CAPLFunctions/J1939/J1939InteractionLayer/CAPLfunctionsJ1939ILOverview.md', 'CAPLFunctions/J1939/J1939InteractionLayer/Functions/CAPLfunctionJ1939ILOnError.md', 'CANoeCANalyzer/J1939/startpageJ1939.md', 'CANoeCANalyzer/J1939/j1939IL/j1939ILErrorDetection.md', 'CANoeCANalyzer/J1939/j1939IL/j1939ILFaultInjection.md', 'CANoeCANalyzer/Windows/Trace/TraceWindowJ1939Checks.md', 'CANoeCANalyzer/NewFeatures/Domain/NewFeaturesOptionJ1939.md', 'CAPLFunctions/ISO11783/ISONodeLayer/CAPLfunctionsISONLErrorCodes.md', 'CANoeCANalyzer/J1939/j1939basics/j1939CrcAndCounter.md', 'CAPLFunctions/J1939/GBT27930InteractionLayer/Functions/CAPLfunctionGBT27930ILOnError.md']"
0,complex_task_zh,我正在开发一个基于J1939协议的测试脚本，需要处理可能出现的网络层错误。我希望找到一份完整的错误代码列表，以便在回调函数中根据错误值输出具体的调试信息，比如节点未找到或超时等情况。,CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md,True,查询错误代码定义,True,3.0,"['CAPLFunctions/J1939/J1939NodeLayer/CAPLfunctionsJ1939NLErrorCodes.md', 'CAPLFunctions/Obsolete/J1939TestServiceLibrary/CAPLfunctionsJ1939TSLErrorCodes.md', 'CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md', 'CAPLFunctions/J1939/GNSSNodeLayer/CAPLfunctionsGNSSNLErrorCodesGetLastError.md', 'CAPLFunctions/J1939/J1939NodeLayer/Functions/CAPLfunctionJ1939Getlasterror.md', 'CAPLFunctions/J1939/J1939InteractionLayer/Functions/CAPLfunctionJ1939ILOnError.md', 'CAPLFunctions/J1939/J1939InteractionLayer/Functions/CAPLfunctionJ1939ILGetLastError.md', 'CAPLFunctions/ISO11783/ISONodeLayer/CAPLfunctionsISONLErrorCodes.md', 'CAPLFunctions/J1939/J1939NodeLayer/Functions/CAPLfunctionJ1939AppErrorIndication.md', 'CAPLFunctions/CANopen/NodeLayerTFS/CAPLfunctionsCANopenNLTFSErrorCodes.md', 'CAPLFunctions/J1939/CAPLfunctionsJ1939StartPage.md', 'CANoeCANalyzer/Windows/Trace/TraceWindowJ1939Checks.md', 'CAPLFunctions/ISO11783/ISONodeLayer/Functions/CAPLfunctionIso11783AppErrorIndication.md', 'CAPLFunctions/J1939/GBT27930InteractionLayer/Functions/CAPLfunctionGBT27930ILGetLastError.md', 'CAPLFunctions/J1939/GBT27930InteractionLayer/Functions/CAPLfunctionGBT27930ILOnError.md']"
0,simple_task_en,I want to know the numerical meanings of interaction layer errors when using the J1939 protocol stack.,CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md,True,查询错误代码定义,True,1.0,"['CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md', 'CAPLFunctions/J1939/J1939NodeLayer/CAPLfunctionsJ1939NLErrorCodes.md', 'CANoeCANalyzer/J1939/j1939IL/j1939ILOverview.md', 'CAPLFunctions/J1939/J1939InteractionLayer/CAPLfunctionsJ1939ILOverview.md', 'CAPLFunctions/J1939/CAPLfunctionsJ1939StartPage.md', 'CAPLFunctions/J1939/J1939InteractionLayer/Functions/CAPLfunctionJ1939ILOnError.md', 'CANoeCANalyzer/J1939/j1939IL/j1939ILFaultInjection.md', 'CANoeCANalyzer/J1939/j1939IL/j1939ILErrorDetection.md', 'CAPLFunctions/Obsolete/J1939TestServiceLibrary/CAPLfunctionsJ1939TSLErrorCodes.md', 'CAPLFunctions/J1939/J1939InteractionLayer/Functions/CAPLfunctionJ1939ILGetLastError.md', 'CAPLFunctions/J1939/J1939NodeLayer/Functions/CAPLfunctionJ1939Getlasterror.md', 'CAPLFunctions/J1939/J1939NodeLayer/Functions/CAPLfunctionJ1939AppErrorIndication.md', 'CAPLFunctions/ISO11783/ISONodeLayer/CAPLfunctionsISONLErrorCodes.md', 'CANoeCANalyzer/J1939/j1939basics/j1939CrcAndCounter.md', 'CAPLFunctions/J1939/GBT27930InteractionLayer/Functions/CAPLfunctionGBT27930ILOnError.md']"
0,complex_task_en,"I am developing a J1939-based test script and need to handle network layer errors. I hope to find a complete list of error codes so that I can output specific debugging information in callback functions, such as node not found or timeout scenarios.",CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md,True,查询错误代码定义,True,3.0,"['CAPLFunctions/J1939/J1939NodeLayer/CAPLfunctionsJ1939NLErrorCodes.md', 'CAPLFunctions/Obsolete/J1939TestServiceLibrary/CAPLfunctionsJ1939TSLErrorCodes.md', 'CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md', 'CAPLFunctions/J1939/GNSSNodeLayer/CAPLfunctionsGNSSNLErrorCodesGetLastError.md', 'CAPLFunctions/J1939/J1939NodeLayer/Functions/CAPLfunctionJ1939Getlasterror.md', 'CAPLFunctions/J1939/J1939InteractionLayer/Functions/CAPLfunctionJ1939ILOnError.md', 'CAPLFunctions/ISO11783/ISONodeLayer/CAPLfunctionsISONLErrorCodes.md', 'CAPLFunctions/J1939/J1939InteractionLayer/Functions/CAPLfunctionJ1939ILGetLastError.md', 'CAPLFunctions/J1939/J1939NodeLayer/Functions/CAPLfunctionJ1939AppErrorIndication.md', 'CAPLFunctions/CANopen/NodeLayerTFS/CAPLfunctionsCANopenNLTFSErrorCodes.md', 'CAPLFunctions/J1939/CAPLfunctionsJ1939StartPage.md', 'CAPLFunctions/J1939/J1939InteractionLayer/Functions/CAPLfunctionJ1939ILGetLastErrorText.md', 'CAPLFunctions/ISO11783/ISONodeLayer/Functions/CAPLfunctionIso11783AppErrorIndication.md', 'CAPLFunctions/J1939/GBT27930InteractionLayer/Functions/CAPLfunctionGBT27930ILOnError.md', 'CAPLFunctions/J1939/GBT27930InteractionLayer/Functions/CAPLfunctionGBT27930ILGetLastErrorText.md']"
1,simple_task_zh,我想了解在网络仿真中，主节点和从节点的基本定义和区别。,CAPLFunctions/Glossary.md,True,查询核心概念与技术细节,False,,"['CANoeCANalyzer/General/HELP_NETNODES.md', 'CAPLFunctions/Security/Functions/CAPLfunctionSecurityLocalStartControlSimulationNode.md', 'COMInterface/Objects/COMObjectNodes.md', 'COMInterface/Objects/COMObjectNode.md', 'CANoeCANalyzer/FunctionBlocks/MOSTNetworkMaster.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupLayout.md', 'CANoeCANalyzer/J1939/blocks/j1939scanner/tabs/network.md', 'CANoeCANalyzer/MOST/MOST_Simulation_Concept/most_simulation-concept.md', 'CANoeCANalyzer/MOST/MOSTSimulationMode.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupWindow.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupMOSTBusShortcutMenu.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINIsMasterNode.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupLINBusShortcutMenu.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupCANBusShortcutMenu.md', 'CANoeCANalyzer/MOST/MOST_Simulation_Concept/MOST_Simulation_Device_Single.md']"
1,complex_task_zh,作为一个刚接触车载网络仿真的新手，我不确定在脚本中提到的‘主从’架构具体指什么。我需要确认哪些节点可以发送帧头，以及从节点是如何响应数据的，以便正确配置我的仿真环境。,CAPLFunctions/Glossary.md,True,查询核心概念与技术细节,False,,"['CANoeCANalyzer/FunctionBlocks/MOSTNetworkMaster.md', 'CANoeCANalyzer/MOST/MOST_Simulation_Concept/most_simulation-concept.md', 'CANoeCANalyzer/MOST/MOSTSimulationMode.md', 'SampConf/Car2x/CANoe/C2xSystemConfigurationCN/Functions/Car2xSystemDemoSimulationSetup.md', 'CANoeCANalyzer/SmartCharging/SCProcedures/SCFirstSteps.md', 'CANoeCANalyzer/FunctionBlocks/LINInteractiveScheduler/LINiscNetwork.md', 'SampConf/Ethernet/CANoe/UDPNMBasicAutosar/UDPNMBasicAutosarCN.md', 'CANoeCANalyzer/J1939/blocks/j1939scanner/tabs/network.md', 'SampConf/Ethernet/CANoe/SomeIPMultimedia/SomeIPMultimediaCN.md', 'CANoeCANalyzer/Ethernet/Procedures/UseCaseSimulation.md', 'SampConf/FlexRay/CANoe/AUTOSARFRNM/AutosarFRNMOverview.md', 'CAPLFunctions/Security/Functions/CAPLfunctionSecurityLocalStartControlSimulationNode.md', 'CANoeCANalyzer/MOST/MOST_Simulation_Concept/MOST_Simulation_Device_Single.md', 'CANoeCANalyzer/MOST/MOST_Simulation_Concept/Application_Socket/Option_MOST_Network_Master.md', 'SampConf/MOST/CANoe/MOSTSystemDemo/MOSTSystemDemoSimulationCN.md']"
1,simple_task_en,I want to understand the basic definitions and differences between master and slave nodes in network simulation.,CAPLFunctions/Glossary.md,True,查询核心概念与技术细节,True,5.0,"['CANoeCANalyzer/FunctionBlocks/MOSTNetworkMaster.md', 'CANoeCANalyzer/FunctionBlocks/LINInteractiveScheduler/LINiscNetwork.md', 'CANoeCANalyzer/General/HELP_NETNODES.md', 'CANoeCANalyzer/LIN/HowTos/LIN_Simulating_LIN-Master.md', 'CAPLFunctions/Glossary.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINIsMasterNode.md', 'CANoeCANalyzer/LIN/LINMasterTests.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINActivateSlaveNetworkManagement.md', 'CAPLFunctions/Security/Functions/CAPLfunctionSecurityLocalStartControlSimulationNode.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINSetMasterNode.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupLayout.md', 'CANoeCANalyzer/MOST/MOST_Simulation_Concept/Application_Socket/Option_MOST_Network_Master.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINResetMasterNode.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINGetMasterNode.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINActivateGlobalNetworkManagement.md']"
1,complex_task_en,"As a novice to vehicle network simulation, I'm not sure what the 'master-slave' architecture mentioned in the scripts specifically refers to. I need to confirm which nodes can send frame headers and how slaves respond with data to correctly configure my simulation environment.",CAPLFunctions/Glossary.md,True,查询核心概念与技术细节,True,1.0,"['CAPLFunctions/Glossary.md', 'CANoeCANalyzer/LIN/HowTos/LIN_Simulating_LIN-Master.md', 'CANoeCANalyzer/LIN/HowTos/LINHardwareMasterMode.md', 'CANoeCANalyzer/FunctionBlocks/MOSTNetworkMaster.md', 'CLibraryAPI/Functions/CAPLfunctioncclIsRunningInSlaveMode.md', 'CANoeCANalyzer/FunctionBlocks/LINInteractiveScheduler/LINiscNetwork.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINSetMasterNode.md', 'CAPLFunctions/Obsolete/Functions/CAPLfunctionLINSlSimulate.md', 'SampConf/Sensor/SPI/SafeSPIMasterUserFPGA.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINActivateSlaveNetworkManagement.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINtpInitAsMaster.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINIsMasterNode.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINResetMasterNode.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINActivateGlobalNetworkManagement.md', 'CAPLFunctions/LIN/Functions/CAPLfunctionLINGetMasterNode.md']"
2,simple_task_zh,我想查找CAPL语言中各类函数和事件过程的分类概览。,CAPLFunctions/CAPLfunctions.md,True,查询模块总览与导航,True,3.0,"['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'Shared/FunctionExplorer.md', 'CAPLFunctions/CAPLfunctions.md', 'CAPLFunctions/Other/CAPLfunctionsEventProceduresOverview.md', 'COMInterface/Objects/COMObjectCAPLFunction.md', 'CAPLBrowser/CAPLBrowserConcept.md', 'Shared/CAPL/General/Functions.md', 'Shared/CAPL/General/EventProceduresOverview.md', 'CAPLFunctions/ObjectOrientedProg/CAPLfunctionsOOPClassesObjects.md', 'CANoeCANalyzer/CANopen/popups/capl.md', 'Shared/CAPL/CAPLIntroduction.md', 'COMInterface/Objects/COMObjectCAPL.md', 'CAPLBrowser/CAPLBrowser.md', 'CANoeCANalyzer/CAPL/CAPL.md', 'CAPLBrowser/Ribbon/CBRibbonFilter.md']"
2,complex_task_zh,我需要编写一个CAPL程序来实现节点行为仿真。由于我不熟悉这种语言，我想先查看一下它的技术参考文档首页，看看它都支持哪些特定总线（如CAN、Ethernet）或特定主题（如诊断、测试）的函数库分类。,CAPLFunctions/CAPLfunctions.md,True,查询模块总览与导航,True,1.0,"['CAPLFunctions/CAPLfunctions.md', 'CAPLBrowser/CAPLBrowserConcept.md', 'CAPLBrowser/CAPLBrowser.md', 'Shared/CAPL/CAPLIntroduction.md', 'CANoeCANalyzer/General/Programming.md', 'CANoeCANalyzer/Interfaces/MATLAB/ModelingConcepts/MATLABmcSoftwareLayers.md', 'CANoeCANalyzer/CANopen/popups/capl.md', 'CANoeCANalyzer/CAPL/CAPL.md', 'Shared/FunctionExplorer.md', 'CANoeCANalyzer/NewFeatures/Domain/NewFeaturesDomainCAPLBrowser.md', 'QuickStartGuide/11CreatingCAPLProgramm/11CreatingCAPLProgramm.md', 'CANoeCANalyzer/General/HELP_NETNODES.md', 'Shared/DocumentView.md', 'CANoeCANalyzer/FunctionBlocks/ProgramNode/help_caplboxan_2.md', 'Shared/CAPL/General/EventProceduresOverview.md']"
2,simple_task_en,I want to find a categorical overview of various functions and event procedures in the CAPL language.,CAPLFunctions/CAPLfunctions.md,True,查询模块总览与导航,True,3.0,"['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'Shared/FunctionExplorer.md', 'CAPLFunctions/CAPLfunctions.md', 'CAPLBrowser/CAPLBrowserConcept.md', 'CAPLFunctions/Other/CAPLfunctionsEventProceduresOverview.md', 'CAPLFunctions/Other/CAPLfunctionsGeneralOverview.md', 'COMInterface/Objects/COMObjectCAPLFunction.md', 'Shared/CAPL/General/Functions.md', 'CAPLBrowser/CAPLBrowser.md', 'CANoeCANalyzer/CANopen/popups/capl.md', 'Shared/CAPL/General/EventProceduresOverview.md', 'COMInterface/Objects/COMObjectCAPL.md', 'CANoeCANalyzer/CAPL/CAPL.md', 'Shared/CAPL/CAPLIntroduction.md', 'CAPLBrowser/Ribbon/CBRibbonFilter.md']"
