case_idx,query_field,query,target_path,target_in_index,category,hit_top5,rank,result_paths,result_paths_list,problem_type,problem_priority,rank_sort,reason_bucket,target_top_dir,target_parent,top1_path,any_same_parent,any_same_top_dir
1,simple_task_zh,我想了解在网络仿真中，主节点和从节点的基本定义和区别。,CAPLFunctions/Glossary.md,True,查询核心概念与技术细节,False,,"['CANoeCANalyzer/General/HELP_NETNODES.md', 'COMInterface/Objects/COMObjectNode.md', 'CAPLFunctions/Security/Functions/CAPLfunctionSecurityLocalStartControlSimulationNode.md', 'CANoeCANalyzer/MOST/MOST_Simulation_Concept/most_simulation-concept.md', 'CANoeCANalyzer/MOST/MOSTSimulationMode.md']","['CANoeCANalyzer/General/HELP_NETNODES.md', 'COMInterface/Objects/COMObjectNode.md', 'CAPLFunctions/Security/Functions/CAPLfunctionSecurityLocalStartControlSimulationNode.md', 'CANoeCANalyzer/MOST/MOST_Simulation_Concept/most_simulation-concept.md', 'CANoeCANalyzer/MOST/MOSTSimulationMode.md']",miss,0,99.0,same_top_module_candidates,CAPLFunctions,CAPLFunctions,CANoeCANalyzer/General/HELP_NETNODES.md,False,True
1,complex_task_zh,作为一个刚接触车载网络仿真的新手，我不确定在脚本中提到的‘主从’架构具体指什么。我需要确认哪些节点可以发送帧头，以及从节点是如何响应数据的，以便正确配置我的仿真环境。,CAPLFunctions/Glossary.md,True,查询核心概念与技术细节,False,,"['CANoeCANalyzer/MOST/MOST_Simulation_Concept/most_simulation-concept.md', 'CANoeCANalyzer/FunctionBlocks/MOSTNetworkMaster.md', 'CANoeCANalyzer/MOST/MOSTSimulationMode.md', 'CANoeCANalyzer/FunctionBlocks/LINInteractiveScheduler/LINiscNetwork.md', 'CANoeCANalyzer/SmartCharging/SCProcedures/SCFirstSteps.md']","['CANoeCANalyzer/MOST/MOST_Simulation_Concept/most_simulation-concept.md', 'CANoeCANalyzer/FunctionBlocks/MOSTNetworkMaster.md', 'CANoeCANalyzer/MOST/MOSTSimulationMode.md', 'CANoeCANalyzer/FunctionBlocks/LINInteractiveScheduler/LINiscNetwork.md', 'CANoeCANalyzer/SmartCharging/SCProcedures/SCFirstSteps.md']",miss,0,99.0,semantic_drift_or_sparse_signal,CAPLFunctions,CAPLFunctions,CANoeCANalyzer/MOST/MOST_Simulation_Concept/most_simulation-concept.md,False,False
2,simple_task_zh,我想查找CAPL语言中各类函数和事件过程的分类概览。,CAPLFunctions/CAPLfunctions.md,True,查询模块总览与导航,False,,"['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'CAPLFunctions/Other/CAPLfunctionsEventProceduresOverview.md', 'Shared/FunctionExplorer.md', 'COMInterface/Objects/COMObjectCAPLFunction.md', 'Shared/CAPL/General/Functions.md']","['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'CAPLFunctions/Other/CAPLfunctionsEventProceduresOverview.md', 'Shared/FunctionExplorer.md', 'COMInterface/Objects/COMObjectCAPLFunction.md', 'Shared/CAPL/General/Functions.md']",miss,0,99.0,same_top_module_candidates,CAPLFunctions,CAPLFunctions,CAPLFunctions/Other/CAPLGeneralStartPage.md,False,True
2,simple_task_en,I want to find a categorical overview of various functions and event procedures in the CAPL language.,CAPLFunctions/CAPLfunctions.md,True,查询模块总览与导航,False,,"['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'CAPLFunctions/Other/CAPLfunctionsEventProceduresOverview.md', 'Shared/FunctionExplorer.md', 'CAPLFunctions/Obsolete/CAPLfunctionsDeprecatedOverview.md', 'CAPLFunctions/Scope/CAPLfunctionsScopeOverview.md']","['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'CAPLFunctions/Other/CAPLfunctionsEventProceduresOverview.md', 'Shared/FunctionExplorer.md', 'CAPLFunctions/Obsolete/CAPLfunctionsDeprecatedOverview.md', 'CAPLFunctions/Scope/CAPLfunctionsScopeOverview.md']",miss,0,99.0,same_top_module_candidates,CAPLFunctions,CAPLFunctions,CAPLFunctions/Other/CAPLGeneralStartPage.md,False,True
3,simple_task_zh,我想了解该仿真工具的核心功能和它可以处理的常见任务。,CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['COMInterface/Properties/COMPropertySimulation.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationFeatures.md', 'COMInterface/Objects/COMObjectSimulation.md', 'CAPLFunctions/Other/Functions/CAPLfunctionIsSimulated.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationConcept.md']","['COMInterface/Properties/COMPropertySimulation.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationFeatures.md', 'COMInterface/Objects/COMObjectSimulation.md', 'CAPLFunctions/Other/Functions/CAPLfunctionIsSimulated.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationConcept.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,COMInterface/Properties/COMPropertySimulation.md,False,True
3,complex_task_zh,我司刚引入了一套测试系统，我需要全面了解这个软件在整个开发周期中能起到什么作用，以及它有哪些常用的操作流程，比如如何录制数据、如何进行剩余总线仿真等基础知识。,CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/ISO11783/SimulationAndTest.md', 'TestCommands/CheckReport/CRSUT.md', 'SampConf/MOST/CANoe/MOSTSystemDemo/MOSTSystemDemoTestCN.md', 'CANoeCANalyzer/Test/TestFeatures.md', 'SampConf/MOST/CANoe/Tester/testerOverviewCn.md']","['CANoeCANalyzer/ISO11783/SimulationAndTest.md', 'TestCommands/CheckReport/CRSUT.md', 'SampConf/MOST/CANoe/MOSTSystemDemo/MOSTSystemDemoTestCN.md', 'CANoeCANalyzer/Test/TestFeatures.md', 'SampConf/MOST/CANoe/Tester/testerOverviewCn.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,CANoeCANalyzer/ISO11783/SimulationAndTest.md,False,True
3,simple_task_en,I want to understand the core functions of this simulation tool and the common tasks it can handle.,CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['COMInterface/Properties/COMPropertySimulation.md', 'CANoeCANalyzer/Ribbon/RibbonStimulationSimulation.md', 'COMInterface/Objects/COMObjectSimulation.md', 'CANoeCANalyzer/J1939/blocks/gnsssimulator/gsMainWnd.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationFeatures.md']","['COMInterface/Properties/COMPropertySimulation.md', 'CANoeCANalyzer/Ribbon/RibbonStimulationSimulation.md', 'COMInterface/Objects/COMObjectSimulation.md', 'CANoeCANalyzer/J1939/blocks/gnsssimulator/gsMainWnd.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationFeatures.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,COMInterface/Properties/COMPropertySimulation.md,False,True
3,complex_task_en,"My company just introduced a testing system, and I need to comprehensively understand the role this software plays throughout the development cycle, as well as its common operational workflows, such as how to record data and how to perform remaining bus simulation.",CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/ISO11783/SimulationAndTest.md', 'CANoeCANalyzer/SimulationStimulation/ConfigurationRemainingBusSimulation.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupConcepts.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationFeatures.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationConcept.md']","['CANoeCANalyzer/ISO11783/SimulationAndTest.md', 'CANoeCANalyzer/SimulationStimulation/ConfigurationRemainingBusSimulation.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupConcepts.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationFeatures.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationConcept.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,CANoeCANalyzer/ISO11783/SimulationAndTest.md,False,True
4,simple_task_zh,我想知道这个软件套件里除了主程序外，还有哪些辅助工具可以使用。,CANoeCANalyzer/CANoeCANalyzerTools.md,True,查询模块总览与导航,False,,"['SampConf/ISO11783/CANoe/MoreExamples/AuxiliaryDemo/AuxiliaryDemo_CN.md', 'CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md', 'CANoeCANalyzer/FunctionBlocks/ProgramNode/help_caplboxan_2.md', 'CANoeCANalyzer/VTPPlatformManager/VN8800Series_AppControl.md', 'CAPLBrowser/CAPLBrowserWindows.md']","['SampConf/ISO11783/CANoe/MoreExamples/AuxiliaryDemo/AuxiliaryDemo_CN.md', 'CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md', 'CANoeCANalyzer/FunctionBlocks/ProgramNode/help_caplboxan_2.md', 'CANoeCANalyzer/VTPPlatformManager/VN8800Series_AppControl.md', 'CAPLBrowser/CAPLBrowserWindows.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,SampConf/ISO11783/CANoe/MoreExamples/AuxiliaryDemo/AuxiliaryDemo_CN.md,False,True
4,complex_task_zh,在配置仿真环境时，我发现需要编辑数据库文件和管理安全配置文件。我想查一下这个软件生态中是否有专门的编辑器或配置管理工具，以及如何启动这些工具来辅助我的脚本开发工作。,CANoeCANalyzer/CANoeCANalyzerTools.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupDatabaseRename.md', 'CANoeCANalyzer/Security/SecuritySetup.md', 'CANoeCANalyzer/General/DatabaseEditors.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssistantDefineBusesDatabases.md']","['CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupDatabaseRename.md', 'CANoeCANalyzer/Security/SecuritySetup.md', 'CANoeCANalyzer/General/DatabaseEditors.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssistantDefineBusesDatabases.md']",miss,0,99.0,same_top_module_candidates,CANoeCANalyzer,CANoeCANalyzer,CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md,False,True
